846	255	10	10	362842.656250	15658.751953	296507.406250	0 //이름없음 <골드거래소>/n관리인
846	10	10	255	204852.453125	12497.170898	227193.656250	0 //이름없음 <골드거래소>/n관리인
846	10	255	10	418934.968750	20438.486328	145114.828125	0 //이름없음 <골드거래소>/n관리인
846	255	255	5	195248.703125	23875.117188	102650.914063	0 //이름없음 <골드거래소>/n관리인
845	255	10	10	363421.843750	15663.007813	295293.875000	0 //이름없음 <디사이플>/n관리인
845	10	10	255	203594.203125	12497.018555	228057.062500	0 //이름없음 <디사이플>/n관리인
845	10	255	10	422142.375000	20475.251953	147124.640625	0 //이름없음 <디사이플>/n관리인
845	255	255	5	184481.484375	23780.578125	104571.156250	0 //이름없음 <디사이플>/n관리인
813	255	10	10	355536.593750	15689.891602	291992.718750	0 //이름없음 <보안요원>/n스컬리
813	10	10	255	206352.031250	11463.145508	231167.578125	0 //이름없음 <보안요원>/n스컬리
813	10	255	10	425639.625000	21132.058594	141707.031250	0 //이름없음 <보안요원>/n스컬리
813	255	255	5	190754.343750	23440.023438	106146.312500	0 //이름없음 <보안요원>/n스컬리
137	255	10	10	359647.750000	15563.869141	295376.687500	0 //이름없음 <이벤트>/n폴로니아
137	10	10	255	202325.031250	12442.000977	224857.781250	0 //이름없음 <이벤트>/n폴로니아
137	10	255	10	426448.218750	21131.712891	139239.437500	0 //이름없음 <이벤트>/n폴로니아
137	255	255	5	189821.312500	23421.007813	103817.914063	0 //이름없음 <이벤트>/n폴로니아
284	255	10	10	359647.750000	15563.869141	295376.687500	0 //이름없음 <이벤트>/n마리나
284	10	10	255	202325.031250	12442.000977	224857.781250	0 //이름없음 <이벤트>/n마리나
284	10	255	10	426448.218750	21131.712891	139239.437500	0 //이름없음 <이벤트>/n마리나
284	255	255	5	189821.312500	23421.007813	103817.914063	0 //이름없음 <이벤트>/n마리나
912	255	10	10	359647.750000	15563.869141	295376.687500	0 //이름없음 <이벤트>/n실비아
912	10	10	255	202325.031250	12442.000977	224857.781250	0 //이름없음 <이벤트>/n실비아
912	10	255	10	426448.218750	21131.712891	139239.437500	0 //이름없음 <이벤트>/n실비아
912	255	255	5	189821.312500	23421.007813	103817.914063	0 //이름없음 <이벤트>/n실비아
910	255	10	10	359647.750000	15563.869141	295376.687500	0 //이름없음 <이벤트>/n리니아
910	10	10	255	202325.031250	12442.000977	224857.781250	0 //이름없음 <이벤트>/n리니아
910	10	255	10	426448.218750	21131.712891	139239.437500	0 //이름없음 <이벤트>/n리니아
910	255	255	5	189821.312500	23421.007813	103817.914063	0 //이름없음 <이벤트>/n리니아
719	255	150	170	972999.937500	12857.226563	508806.781250	0 //바이런마을 <길드하우스
719	255	150	170	972990.750000	12857.449219	516159.281250	0 //바이런마을 <길드하우스
719	255	150	170	973453.125000	12860.999023	523639.250000	0 //바이런마을 <길드하우스
719	255	150	170	973446.687500	12861.294922	530997.312500	0 //바이런마을 <길드하우스
719	255	150	170	963742.250000	12854.264648	531022.625000	0 //바이런마을 <길드하우스
719	255	150	170	963743.437500	12854.738281	523658.531250	0 //바이런마을 <길드하우스
719	255	150	170	963279.125000	12855.310547	516182.625000	0 //바이런마을 <길드하우스
