355	20	255	255	691001.9375	13760.5791	9820.844727	1	0	//Остров Гвинея <Торговец оружием>/n Морис
356	20	255	255	689899.1875	12986.63281	14798.15723	1	0	1 //Guinea Island <Универсальный магазин>/n Olsen
357	20	255	255	685499.375	12653.58008	18564.46875	1	0	1 //Остров Гвинея <моряк>/nCook
337	20	255	255	686916.4375	13417.31055	12240.76758	0	0	1 //Остров Гвинея <Новичок
342	20	255	255	688493.6875	13431.82324	12019.8418	1	0	1 //Остров Гвинея <Волшебник>/nЮлия
680	20	255	255	689082.5625	13417.31055	11823.76563	1	0	1 //Безымянный <Комната ПК>/nHelper
947	20	255	255	688290.3125	13431.82324	9246.191406	0	0	1 //Остров Гвинея <Уведомление>
354	20	255	255	691334.4375	13732.23438	10929.1416	0	0	1 //Гвинея <Старый
2091	20	255	255	688752	13417.31055	11818.44238	1	0	1 //Безымянный <Подарочная коробка>/nExchange
355	30	255	255	740894.75	21851.84766	60675.71094	1	0	//Остров Гвинея <Торговец оружием>/n Морис
356	30	255	255	739171.375	21489.13086	57858.00781	1	0	1 //Guinea Island <Универсальный магазин>/n Olsen
357	30	255	255	740799.4375	20461.35742	51658.16016	1	0	1 //Остров Гвинея <моряк>/nCook
337	30	255	255	744085.25	22198.13867	61391.95313	0	0	1 //Остров Гвинея <Новичок
342	30	255	255	739691.6875	21192.30078	55007.95703	1	0	1 //Остров Гвинея <Волшебник>/nЮлия
680	30	255	255	739848.875	21192.30078	55450.04297	1	0	1 //Безымянный <Комната ПК>/nHelper
947	30	255	255	742073.5625	21489.13086	57678.58203	0	0	1 //Остров Гвинея <Уведомление>
354	30	255	255	741261.375	21834.13867	60363.33594	0	0	1 //Гвинея <Старый
2091	30	255	255	740341.5625	21192.30078	55599.02734	1	0	1 //Безымянный <Подарочная коробка>/nExchange
355	40	255	255	693236.9375	12550.57617	114200.6172	1	0	//Остров Гвинея <Торговец оружием>/n Морис
356	40	255	255	699477.5625	12540.25781	113768.75	1	0	1 //Guinea Island <Универсальный магазин>/n Olsen
357	40	255	255	696614.5625	13275.13965	107664.8672	1	0	1 //Остров Гвинея <моряк>/nCook
337	40	255	255	696469.0625	12540.25781	112292.1797	0	0	1 //Остров Гвинея <Новичок
342	40	255	255	696563.5625	12932.27539	110882.4453	1	0	1 //Остров Гвинея <Волшебник>/nЮлия
680	40	255	255	695514.625	12940.52832	110728.1797	1	0	1 //Безымянный <Комната ПК>/nHelper
947	40	255	255	695991.25	12951.9209	109315.5625	0	0	1 //Остров Гвинея <Уведомление>
354	40	255	255	693472.1875	12540.25781	112929.6094	0	0	1 //Гвинея <Старый
2091	40	255	255	695992.9375	12937.76074	110699.3906	1	0	1 //Безымянный <Подарочная коробка>/nExchange
375	20	255	255	686471.625	13436.31836	12143.36816	1	0	1 // Мануэль, Гвинея
376	20	255	255	689392.4375	12671.83496	17366.94531	1	0	1 // Паралич Гвинеи
352	0	255	255	710099.8125	13218.44336	25622.53516	1	0	1 // Уолтер, Гвинея
350	0	255	255	713529.4375	12929.31836	27978.58984	1	0	1 //Остров Гвинея <Guard>/nWorston
349	0	255	255	663018.8125	12915.30566	39870.28125	1	0	1 //Остров Гвинея <Guardian>/nHoward
382	0	255	255	705691.8125	12561.90625	29294.86133	1	0	1 // Бартон, Гвинея
378	80	255	255	718619.5	11807.0459	16136.50684	1	0	1 // Ламкин, остров Гвинея
343	0	255	255	714226.9375	12983.12109	29452.30078	1	0	1 // гвинейский пенни
381	90	255	255	670828.25	16777.90625	57871.62891	1	0	1 // Мавр Гвинеи
384	0	255	255	727248.125	15622.84473	75552.16406	1	0	1 // Леа, Гвинея
374	0	255	255	703711.875	13831.96289	71161.90625	1	0	1 // Мойр, остров Гвинея
339	90	255	255	688880.25	14063.31836	70555.67188	1	0	1 //Остров Гвинея <Guardian>/n Bannister
341	0	255	255	725848.6875	15616.03613	58401.22656	1	0	1 //Освальт, Гвинея
383	70	255	255	734386.25	11979.52148	96531.61719	1	0	1 //Акоста, остров Гвинея
379	0	255	255	704812.9375	13909.59277	71061.5625	1	0	1//Гвинеа Айленд Лейкерс
353	90	255	255	688542.5	14082.6084	71486.53906	1	0	1 //Остров Гвинея <Guard>/nClayton
2064	30	255	255	742765.125	21823.15039	59894.17188	1	0	// Марке, остров Гвинея
2066	30	255	255	738698.9375	20817.30664	52821.46875	1	0	1 //Барби с острова Гвинея
345	0	255	255	677607.4375	14059.68359	91151.13281	1	0	1 // Оливия, Гвинея
387	0	255	255	668336	13771.82227	86627.625	1	0	1 // Амас, Гвинея
351	90	255	255	660489.5	13873.19824	67151.91406	1	0	1 //Остров Гвинея <Guardian>/nKelly
340	0	255	255	686077.75	12884.60156	97743.98438	1	0	1 // Понсон, остров Гвинея
372	60	255	255	668303.6875	11324.86719	100255.3516	1	0	1 // Почта Гвинеи
386	0	255	255	673960	13365.03613	87162.32813	1	0	1 // Аломар, остров Гвинея
338	90	255	255	670740.3125	16680.16211	58327.26563	1	0	1 // Дорога на остров Гвинея
2065	40	255	255	695471	12531.48633	112719.2031	1	0	1 // Метельс, Гвинея
2067	40	255	255	694541.8125	13274.64356	106289.1563	1	0	1 //Мари, Гвинея
357	50	255	255	654414.5625	12100.98145	77378.46875	1	0	1 //Остров Гвинея <моряк>/nCook
857	20	255	255	686300.9375	13431.82324	13223.13379	0	0	1 //Безымянный <Гадалка>/нКаган
945	20	255	255	686771.125	13431.82422	13203.72168	0	0	1 //безымянный <обычный материал>/noperator
243	20	255	255	687219.5	13431.82422	13183.15527	0	0	1 //Безымянный <специальный материал>/noperator
128110	20	255	255	686743.5	13434.46387	13200.96582	0	0	1 //безымянный <обычный материал>/noperator
243	30	255	255	741468.4375	21192.30078	54504.63281	0	0	1 //Безымянный <специальный материал>/noperator
945	30	255	255	741848.9375	21192.30078	54724.96094	0	0	1 //безымянный <обычный материал>/noperator
857	30	255	255	741870	21192.30078	55152.35938	0	0	1 //Безымянный <Гадалка>/нКаган
